age	sex	party	party guess	race	ethnicity	precinct	prop value	voted 2010	voted 2011	voted 2012	voted 2013	voted 2014	voted 2015	voted 2016	voted 2017	voted 2018	voted 2019	voted 2020	voted 2021
83	M	U	R	WHITE	JEWISH	3	610.0	True	False	False	False	False	False	False	False	False	True	False	False
37	M	U	U	UNKNOWN	BRITISH	5	400.0												
48	F	U	D	ASIAN	EASTASIAN	3	640.0								False	False	True	False	True
61	F	U	R	WHITE	JEWISH	2	840.0	False	False	False	True	True	True	True	True	True	True	True	False
40	F	U	R	WHITE	BRITISH	3	700.0							False	False	False	False	False	False
56	U	U	R	ASIAN	EASTASIAN	5	1210.0					False	False	False	False	True	False	False	False
66	F	D	D	WHITE	JEWISH	1	460.0	False	False	False	True	True	False	False	False	True	True	True	True
68	M	U	D	WHITE	JEWISH	2	490.0	False	False	False	False	False	False	False	False	False	False	False	False
66	M	U	R	WHITE	JEWISH	2	980.0	False	False	False	True	False	False	True	False	False	False	False	False
35	M	U	U	WHITE	JEWISH	4	820.0				False	False	False	False	False	False	False	False	False
42	M	U	D	WHITE	JEWISH	1	530.0	False	False	False	True	True	True	True	True	True	True	True	True
39	F	D	D	UNKNOWN	BRITISH	3	820.0												
25	F	U	D	WHITE	HISPANIC	2	870.0						True	False	False	False	False	False	False
48	F	U	U	ASIAN	INDIANSUBCONTINENT	4	760.0				False	False	False	False	False	False	False	False	False
30	M	D	D	ASIAN	MUSLIM	5	760.0								False	False	False	False	False
65	M	D	D	WHITE	JEWISH	4	490.0	False	False	False	False	False	False	False	False	False	False	False	False
51	F	U	U	WHITE	BRITISH	3	450.0												False
67	M	U	D	WHITE	JEWISH	3	830.0	False	False	False	True	False	False	True	False	False	False	False	False
36	F	D	D	WHITE	BRITISH	2	450.0	False	False	False	False	False	False	False	False	False	False	False	False
28	F	U	U	UNKNOWN	JEWISH	1	810.0												
30	M	D	D	UNKNOWN	BRITISH	2	580.0												
66	M	D	D	WHITE	BRITISH	5	520.0	False	False	False	True	False	True	True	True	True	True	True	True
62	F	U	D	WHITE	BRITISH	1	640.0	False	False	False	False	False	False	False	False	False	False	False	False
40	U	D	D	BLACK	BRITISH	5	730.0										False	False	True
39	M	R	R	WHITE	JEWISH	3	810.0	False	False	False	False	False	False	False	False	False	False	False	False
66	M	U	D	WHITE	BRITISH	5	540.0				False	False	False	False	False	False	False	False	False
71	M	D	D	WHITE	JEWISH	3	720.0	True	False	False	False	False	False	False	False	True	False	True	False
64	M	U	R	WHITE	BRITISH	5	790.0	False	False	False	False	False	False	False	False	False	False	False	False
28	U	U	U	UNKNOWN	INDIANSUBCONTINENT	2	1410.0												False
98	F	D	D	WHITE	JEWISH	4		False	True	False	False	False	False	False	False	False	True	False	False
45	F	U	U	UNKNOWN	EASTEUROPEAN	3	700.0												
67	M	D	D	WHITE	BRITISH	4	590.0	False	False	False	False	True	False	True	True	True	True	True	False
56	U	U	D	ASIAN	EASTASIAN	5	800.0				False	False	False	False	False	False	True	False	False
78	M	U	R	WHITE	BRITISH	2	1080.0	False	False	False	False	False	False	False	False	False	False	False	False
41	M	U	U	WHITE	BRITISH	1	880.0		False	False	False	False	False	False	False	False	True	False	False
47	M	D	D	WHITE	FRENCH	4	710.0	False	False	False	False	False	False	True	False	True	True	True	False
47	F	U	D	WHITE	BRITISH	2	710.0	False	False	False	False	False	False	True	False	False	True	False	False
59	U	U	D	ASIAN	EASTASIAN	3	720.0	False	False	False	False	False	False	False	False	False	False	False	False
68	U	U	U	UNKNOWN	HISPANIC	5	1120.0												False
67	F	D	D	WHITE	BRITISH	5	930.0	True	False	False	False	False	False	True	True	True	True	True	True
39	M	U	U	WHITE	BRITISH	5	420.0								False	False	False	False	False
56	F	U	U	UNKNOWN	BRITISH	2	970.0												False
77	M	U	D	WHITE	BRITISH	2	340.0	False	False	False	True	True	True	True	False	False	True	False	False
98	F	D	D	WHITE	ITALIAN	2	480.0	False	False	False	False	False	False	False	False	False	False	False	False
18	M	D	D	UNKNOWN	INDIANSUBCONTINENT	3	770.0												False
